total_bill,tip,gender,day,time
8.52,1.48,Male,Thur,Lunch
14.52,2,Female,Thur,Lunch
11.38,2,Female,Thur,Lunch
22.82,2.18,Male,Thur,Lunch
19.08,1.5,Male,Thur,Lunch
20.27,2.83,Female,Thur,Lunch
11.17,1.5,Female,Thur,Lunch
12.26,2,Female,Thur,Lunch
18.26,3.25,Female,Thur,Lunch
8.51,1.25,Female,Thur,Lunch
10.33,2,Female,Thur,Lunch
14.15,2,Female,Thur,Lunch
16,2,Male,Thur,Lunch
13.16,2.75,Female,Thur,Lunch
17.47,3.5,Female,Thur,Lunch
34.3,6.7,Male,Thur,Lunch
41.19,5,Male,Thur,Lunch
27.05,5,Female,Thur,Lunch
16.43,2.3,Female,Thur,Lunch
8.35,1.5,Female,Thur,Lunch
18.64,1.36,Female,Thur,Lunch
11.87,1.63,Female,Thur,Lunch
9.78,1.73,Male,Thur,Lunch
7.51,2,Male,Thur,Lunch
14.07,2.5,Male,Sun,Dinner
13.13,2,Male,Sun,Dinner
17.26,2.74,Male,Sun,Dinner
24.55,2,Male,Sun,Dinner
19.77,2,Male,Sun,Dinner
29.85,5.14,Female,Sun,Dinner
48.17,5,Male,Sun,Dinner
25,3.75,Female,Sun,Dinner
13.39,2.61,Female,Sun,Dinner
16.49,2,Male,Sun,Dinner
21.5,3.5,Male,Sun,Dinner
12.66,2.5,Male,Sun,Dinner
16.21,2,Female,Sun,Dinner
13.81,2,Male,Sun,Dinner
17.51,3,Female,Sun,Dinner
24.52,3.48,Male,Sun,Dinner
20.76,2.24,Male,Sun,Dinner
31.71,4.5,Male,Sun,Dinner
10.59,1.61,Female,Sat,Dinner
10.63,2,Female,Sat,Dinner
50.81,10,Male,Sat,Dinner
15.81,3.16,Male,Sat,Dinner
7.25,5.15,Male,Sun,Dinner
31.85,3.18,Male,Sun,Dinner
16.82,4,Male,Sun,Dinner
32.9,3.11,Male,Sun,Dinner
17.89,2,Male,Sun,Dinner
14.48,2,Male,Sun,Dinner
9.6,4,Female,Sun,Dinner
34.63,3.55,Male,Sun,Dinner
34.65,3.68,Male,Sun,Dinner
23.33,5.65,Male,Sun,Dinner
45.35,3.5,Male,Sun,Dinner
23.17,6.5,Male,Sun,Dinner
40.55,3,Male,Sun,Dinner
20.69,5,Male,Sun,Dinner
20.9,3.5,Female,Sun,Dinner
30.46,2,Male,Sun,Dinner
18.15,3.5,Female,Sun,Dinner
23.1,4,Male,Sun,Dinner
15.69,1.5,Male,Sun,Dinner
19.81,4.19,Female,Thur,Lunch
28.44,2.56,Male,Thur,Lunch
15.48,2.02,Male,Thur,Lunch
16.58,4,Male,Thur,Lunch
7.56,1.44,Male,Thur,Lunch
10.34,2,Male,Thur,Lunch
43.11,5,Female,Thur,Lunch
13,2,Female,Thur,Lunch
13.51,2,Male,Thur,Lunch
18.71,4,Male,Thur,Lunch
12.74,2.01,Female,Thur,Lunch
13,2,Female,Thur,Lunch
16.4,2.5,Female,Thur,Lunch
20.53,4,Male,Thur,Lunch
16.47,3.23,Female,Thur,Lunch
26.59,3.41,Male,Sat,Dinner
38.73,3,Male,Sat,Dinner
24.27,2.03,Male,Sat,Dinner
12.76,2.23,Female,Sat,Dinner
30.06,2,Male,Sat,Dinner
25.89,5.16,Male,Sat,Dinner
48.33,9,Male,Sat,Dinner
13.27,2.5,Female,Sat,Dinner
28.17,6.5,Female,Sat,Dinner
12.9,1.1,Female,Sat,Dinner
28.15,3,Male,Sat,Dinner
11.59,1.5,Male,Sat,Dinner
7.74,1.44,Male,Sat,Dinner
30.14,3.09,Female,Sat,Dinner
12.16,2.2,Male,Fri,Lunch
13.42,3.48,Female,Fri,Lunch
8.58,1.92,Male,Fri,Lunch
15.98,3,Female,Fri,Lunch
13.42,1.58,Male,Fri,Lunch
16.27,2.5,Female,Fri,Lunch
10.09,2,Female,Fri,Lunch
20.45,3,Male,Sat,Dinner
13.28,2.72,Male,Sat,Dinner
22.12,2.88,Female,Sat,Dinner
24.01,2,Male,Sat,Dinner
15.69,3,Male,Sat,Dinner
11.61,3.39,Male,Sat,Dinner
10.77,1.47,Male,Sat,Dinner
15.53,3,Male,Sat,Dinner
10.07,1.25,Male,Sat,Dinner
12.6,1,Male,Sat,Dinner
32.83,1.17,Male,Sat,Dinner
35.83,4.67,Female,Sat,Dinner
29.03,5.92,Male,Sat,Dinner
27.18,2,Female,Sat,Dinner
22.67,2,Male,Sat,Dinner
17.82,1.75,Male,Sat,Dinner
18.78,3,Female,Thur,Dinner
